No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2369,20220209,12:31:00 PM,2022,2,9,12,31,SPY,C,500,6/17/2022,2.68,455.925,0.91185,92,0.000522764,0.27
2370,20220209,12:35:00 PM,2022,2,9,12,35,SPY,C,500,6/17/2022,2.67,455.955,0.91191,92,0.000378744,0.27
2371,20220209,12:37:00 PM,2022,2,9,12,37,SPY,C,500,6/17/2022,2.7,456.345,0.91269,92,0.000543082,0.27
2372,20220209,12:54:00 PM,2022,2,9,12,54,SPY,C,500,6/17/2022,2.68,456.415,0.91283,92,0.000538282,0.27
2373,20220209,12:55:00 PM,2022,2,9,12,55,SPY,C,500,6/17/2022,2.68,456.545,0.91309,92,0.000541872,0.27
2374,20220209,1:10:00 PM,2022,2,9,13,10,SPY,C,500,6/17/2022,2.7,456.495,0.91299,92,0.000367483,0.27
2375,20220209,1:42:00 PM,2022,2,9,13,42,SPY,C,500,6/17/2022,2.73,456.485,0.91297,92,0.00038034,0.27
2376,20220209,1:44:00 PM,2022,2,9,13,44,SPY,C,500,6/17/2022,2.72,456.705,0.91341,92,0.000237159,0.27
2377,20220209,1:47:00 PM,2022,2,9,13,47,SPY,C,500,6/17/2022,2.75,456.745,0.91349,92,0.000239278,0.27
2378,20220209,1:49:00 PM,2022,2,9,13,49,SPY,C,500,6/17/2022,2.77,456.615,0.91323,92,0.000286668,0.27
2379,20220209,2:06:00 PM,2022,2,9,14,6,SPY,C,500,6/17/2022,2.79,456.965,0.91393,92,0.00041743,0.27
2380,20220209,2:08:00 PM,2022,2,9,14,8,SPY,C,500,6/17/2022,2.8,457.245,0.91449,92,0.000427216,0.27
2381,20220209,2:14:00 PM,2022,2,9,14,14,SPY,C,500,6/17/2022,2.85,457.285,0.91457,92,0.000429214,0.27
2382,20220209,2:15:00 PM,2022,2,9,14,15,SPY,C,500,6/17/2022,2.89,457.255,0.91451,92,0.000449065,0.27
2383,20220209,2:16:00 PM,2022,2,9,14,16,SPY,C,500,6/17/2022,2.84,457.285,0.91457,92,0.000370468,0.27
2384,20220209,2:24:00 PM,2022,2,9,14,24,SPY,C,500,6/17/2022,2.83,457.225,0.91445,92,0.00029333,0.27
